Genes	COLO680N	ECGI10	KYSE140	KYSE150	KYSE180	KYSE270	KYSE410	KYSE450	KYSE510	KYSE520	KYSE70	OE21	TE10	TE11	TE15	TE1	TE4	TE5	TE6	TE8	TE9	TT
GSTM3	4.12674	7.07385	2.44498	0.0242913	27.8832	7.89285	1.18707	3.23415	13.3713	25.3382	78.8003	21.4321	1.12778	18.4675	0.0541371	11.3024	1.06376	0.239094	83.2052	15.2895	2.30453	32.2996
SETDB1	11.0322	12.8716	9.03016	13.2394	5.79281	6.83041	7.15042	15.9594	17.3573	9.247	11.0242	5.81326	4.67749	7.05625	11.7989	8.93942	10.723	8.55662	11.5211	9.83675	7.58722	17.0948
VPS72	24.4563	40.16	26.8302	34.8107	25.0155	18.2986	23.8337	53.6461	36.0245	19.8669	20.625	22.311	19.9072	28.4067	31.1403	37.436	32.2681	23.398	21.0946	19.8363	24.2881	30.0426
JTB	55.3311	91.8239	85.6314	77.0879	75.8353	53.2341	47.0913	140.446	110.87	49.9175	87.0761	71.3986	71.239	81.7914	76.8011	109.633	101.676	58.2402	57.9622	37.3963	57.0134	76.0873
UBE2Q1	14.2514	28.2422	17.8239	20.9587	19.0642	15.9164	26.3278	26.4301	24.4986	19.2066	25.0635	18.3836	17.1522	17.8258	24.7439	40.8383	28.1308	23.4206	12.9983	17.0331	16.5913	28.1557
CLK2	14.7163	18.2693	12.9908	12.4865	9.90859	14.7408	12.7498	13.0284	32.4029	16.7316	8.59792	7.26875	15.4732	12.622	18.1584	12.6813	13.8511	21.952	23.8131	17.4505	16.765	31.762
RIT1	8.68926	16.8692	4.78361	6.11407	8.29379	5.00801	7.99583	6.88296	15.4871	12.3239	17.2766	13.8193	4.66412	17.9808	6.54317	8.28714	14.1181	12.9777	21.5619	7.82964	9.30974	13.2416
USP21	13.7835	20.1106	8.71587	12.2304	12.7232	5.58578	10.9136	15.3669	18.7119	16.1725	8.26069	6.98324	6.81359	7.9462	8.93346	13.6192	11.575	8.3332	13.1274	9.3602	8.63019	19.1497
MRPS14	16.6983	10.7953	13.7855	15.2751	15.0622	7.43619	7.44342	16.0011	14.028	13.8238	9.61633	11.2381	6.16377	10.032	12.5692	12.9785	14.4566	15.4426	11.1844	10.7741	14.0592	11.6039
FAM20B	19.7559	9.15608	11.9089	10.2355	18.1826	12.4389	11.8508	8.31464	19.6935	18.3899	21.818	10.1553	8.07503	13.2983	14.7465	17.1204	17.0606	8.36879	25.3691	15.1643	12.7266	18.6664
SOX13	7.04892	11.9485	7.36643	5.42327	8.09093	3.4609	6.3203	3.59066	8.12051	2.86613	1.65048	5.02224	9.62868	10.9845	10.0546	4.38349	3.37926	12.4428	7.66073	2.4133	13.1403	14.1939
HHAT	3.07736	1.43456	2.04465	1.42129	0.288482	1.45513	0.470998	1.05267	0.988481	2.36521	1.67687	0.63554	0.159316	0.241375	1.32645	4.55244	2.2656	1.92771	3.67626	2.2848	1.76546	4.20531
RCOR3	3.48125	3.72608	5.77854	3.51031	5.35742	4.3147	5.02999	4.32962	5.34484	6.39402	6.40946	4.00902	2.28798	4.4428	6.05394	5.08224	6.36642	11.1231	10.0349	8.00403	8.19164	7.37849
MARK1	0.949871	5.78639	15.8592	0.94017	7.02369	3.72336	1.33845	18.5086	4.33208	2.72035	14.798	5.70621	4.05307	4.53733	6.86353	0.539586	2.90097	11.0254	11.2718	1.40272	7.70405	6.05705
SUSD4	0.12308	0.809615	7.81141	0.0462859	0.482383	1.63185	1.19037	3.01771	1.60056	0.53282	1.03393	0.761954	2.17003	0.686326	0.0366035	2.03645	2.34546	6.90258	12.1853	4.61614	9.12207	24.0793
EPHX1	32.9857	13.6402	11.6643	8.96113	24.6407	32.7039	36.5623	10.509	50.5432	58.4965	235.586	24.8986	18.3076	43.8919	33.918	8.66941	6.90935	222.915	88.3531	32.2276	34.88	146.629
DISC1	0.080264	0.198445	0.849429	0.0076536	0.0605851	0.198306	0.142695	0.217924	0.0631946	0.402272	0.0312719	0.0233087	0.0098284	0.0244362	0.0951353	0.527013	0.436845	0.0728798	0.346752	0.190738	0.0750776	0.0813903
SMYD3	2.43338	1.10675	2.86858	6.57421	3.16052	1.65499	4.69083	1.66435	2.4989	3.11272	3.22994	2.85004	2.97761	2.0427	9.45831	3.20956	2.71289	0.298133	4.20602	3.19835	2.54711	3.94207
ODC1	30.4456	95.093	95.885	51.1915	129.664	56.8232	101.757	119.978	70.0719	42.5336	75.0891	69.1418	124.663	47.96	78.3037	33.9093	72.3736	17.2133	36.5157	50.9746	31.3674	285.579
CLIP4	17.3522	27.4297	3.57284	15.7053	10.3847	7.3703	11.142	19.5115	8.09468	15.8318	18.877	3.21585	11.7908	10.0679	12.4084	21.9901	1.6518	16.0802	14.7221	6.03712	8.29532	30.5909
EPCAM	103.793	109.091	102.185	82.676	133.896	106.959	129.591	132.437	139.809	18.0837	123.444	34.3969	172.571	68.312	57.4232	170.892	176.054	109.714	166.141	10.4942	61.4355	139.18
EHBP1	9.88915	10.3805	3.73316	14.8416	10.587	3.78443	12.0141	6.50951	7.38715	14.7597	11.8565	6.75541	5.96299	10.6122	11.8365	12.1808	16.1044	8.36801	12.9686	12.38	5.26785	8.52598
RPIA	12.4291	12.0351	12.4124	21.6145	17.5148	17.036	20.3827	23.0355	20.0075	16.2995	7.66415	10.1298	18.9485	6.86062	8.13379	46.1263	18.3852	21.7278	20.5095	8.53026	14.239	47.7538
STARD7	44.9331	46.2838	54.699	36.61	79.4775	54.7535	74.9483	73.2636	52.9183	30.9881	122.143	52.523	70.0527	53.4219	38.3219	68.8655	101.152	58.3923	60.0847	43.6484	62.1337	121.369
COX5B	82.5127	114.695	75.9508	128.754	39.7167	83.2364	50.0338	174.435	89.3281	57.3552	99.8756	99.4763	49.3192	76.6303	59.6718	62.6398	126.049	93.7144	79.093	60.9892	122.823	164.105
RABL2A	5.79955	3.72655	1.30486	1.52323	0.859661	0.723453	0.752206	3.38708	1.66981	0.627417	4.60519	1.55764	1.09676	0.187723	0.994224	0.467213	0.29115	3.37715	0.827129	2.09325	2.58261	1.99656
CCDC93	12.5338	7.60667	5.86166	10.3571	5.39415	6.1862	10.1568	8.93952	9.13477	9.92419	6.9822	3.32671	4.04987	6.40772	5.57881	10.2942	9.3275	5.70629	4.83807	6.88137	8.46326	10.0468
DBI	72.5264	36.7916	54.3672	87.199	21.1903	38.4699	55.5918	25.6542	152.458	46.9083	57.6294	72.2547	58.5882	62.602	44.147	72.0522	89.3071	160.489	39.4658	32.1904	89.5403	320.046
ERCC3	36.7936	30.1687	17.9434	32.4758	21.1562	12.333	23.3804	24.6805	26.4418	24.3794	14.4728	14.0126	15.3594	23.2746	20.7797	18.2847	40.9438	21.9121	15.8071	17.6489	22.6553	46.4196
SMPD4	21.8962	14.0957	14.3531	13.676	17.7966	18.7718	19.149	15.7089	24.4841	21.2063	12.7029	11.8418	14.6982	22.0482	16.0679	19.1715	39.5433	18.8188	11.8427	17.0869	16.6557	39.3585
UBXN4	40.8717	40.6122	21.8303	39.7614	17.5567	45.2104	29.0383	24.8854	35.8435	27.6741	32.463	13.8342	19.629	28.5105	23.678	20.933	40.1529	47.1775	30.0141	33.6545	32.6024	67.4724
PKP4	11.9043	15.0528	12.7184	19.3317	13.8345	8.92058	24.1278	14.8507	21.5415	24.2373	7.00903	16.9714	11.5665	16.1291	13.838	15.099	12.5828	18.3232	16.9972	12.1793	14.4224	20.098
SCN9A	0.01792	0.276705	1.30727	0.0083046	0.012642	0.149678	0.17947	0.0689392	0.225745	0.695728	3.17237	0.160255	0.0957068	0.125209	0.357891	0.0157646	0.398415	0.0366107	0.23045	0.336724	0.0485492	1.10203
FZD7	6.57766	3.8937	11.2344	2.98214	3.81388	3.53791	6.68815	4.12781	11.9578	3.05834	8.28772	2.05845	4.4587	3.02297	3.4555	6.81086	4.85193	4.01985	12.5346	5.70816	4.27587	23.0354
ADAM23	0.0545109	0.858521	8.91094	0.0053978	0.876142	4.37499	3.00516	1.14263	2.08539	2.14752	37.7233	2.47026	0.410568	3.20445	0.219448	2.27041	5.16613	0.7121	33.2483	3.26293	3.62465	38.4454
IDH1	34.6959	58.1542	26.0307	91.8527	16.4688	16.0667	43.5807	48.9161	135.058	16.7859	115.357	36.4241	35.234	52.1483	36.9	15.7646	94.4581	138.504	138.274	12.453	56.2914	82.5989
MAP2	0.86124	1.73548	6.2578	1.80492	5.12104	0.130599	3.35048	3.67941	1.89422	1.64433	10.7383	8.81564	1.41581	19.3671	2.1412	0.14735	2.47761	0.230983	17.66	4.50932	6.04604	0.331114
ABCB6	7.51556	14.8739	30.8594	0.844956	16.8501	15.3619	9.7244	0.771566	24.806	21.5005	44.0184	36.3736	13.5215	50.3805	11.6875	10.6071	0.437298	18.9415	58.8537	23.5643	23.9615	26.1357
UGT1A1	0.316683	4.38324	1.60888	0.0055465	2.83695	0.869506	2.83418	0.536399	7.11822	5.21152	5.10713	1.05914	0.731431	2.35303	0.0440615	0.00412	0.0369066	8.38715	4.36445	0.115188	4.72854	4.29042
UGT1A10	0.0291251	2.8263	0	0.0374926	0	0	40.5497	0	0	0	0	0	0.0648127	4.25703	0.420487	0.0417748	0.0554397	126.797	0.0117634	0.236372	0.0585109	0.0191686
UGT1A7	0.138953	0.675406	0.581469	0	0.991034	0.0769875	0.268098	0.0897835	1.33997	1.08019	0.461342	0.332123	0.58761	0.690635	0.0038878	0.0123599	0	1.61334	0.908391	0	1.0424	9.48967
UGT1A6	1.69689	5.78791	3.91774	0.0537461	8.59372	2.06044	2.16493	0.659683	17.927	5.96525	7.3126	4.89148	0.74707	6.9467	0.0430551	0.0941044	0.03406	9.39037	12.6954	0.432807	12.0953	9.78623
UGT1A4	0.10864	0.306177	0.115486	0.139851	0.182481	0.0435004	0.103469	0.0082925	0.356399	0.375029	0.379004	0.0411111	0	0.18339	0	0	0	0.594513	0.626838	0	0.445412	0.388148
HDAC4	1.212	1.93515	2.51577	1.09383	1.31984	1.30067	2.03273	3.22173	2.13236	2.77485	3.12721	1.23464	0.745467	1.07952	0.642699	1.78248	8.50846	1.25236	2.1113	2.31568	1.83142	5.52735
ENTPD3	0.288903	1.43179	1.65345	0.0026756	0.352313	0.378663	0.957645	0.237654	0.109095	0.200896	0.0312347	0.728943	0.610525	7.17781	5.40124	0.0794973	1.06425	0.114118	4.85881	0.381021	0.961553	2.62366
TMEM158	1.14487	2.2684	4.34085	1.52838	8.5379	4.76387	5.96794	0.86849	0.927365	3.49134	9.93897	1.8271	15.0257	1.89526	3.67307	5.27099	1.7488	0.965552	3.57365	4.22403	0.876188	4.28841
CISH	1.10174	0.474009	1.62374	3.78067	0.727964	0.685238	1.59932	0.346078	1.67904	0.464598	0.974167	1.07317	0.222058	0.890631	0.286492	1.66677	1.26313	2.53789	1.77993	1.50969	0.834671	1.50872
TKT	124.979	52.0244	96.2317	271.109	156.858	89.9097	146.924	120.571	397.362	248.479	210.244	137.088	89.0502	227.219	135.846	60.5314	119.159	143.208	208.348	72.8202	143.547	80.3203
CACNA2D3	0	0.003176	1.03958	0.0038339	0.545696	0.427819	0.0088247	0.0175045	0.0078163	0.0079964	4.23329	0.0299789	0.0965735	0.0030602	0.0250821	0.03987	0.153067	0.0266202	1.37611	0.418014	0.0222233	1.77392
WNT5A	0.0221243	0.726883	5.39929	0.0203432	13.082	3.18178	0.641505	0.149736	7.0064	8.78727	24.6724	7.04495	1.60093	21.8096	0.0494332	3.97826	3.05625	0.19506	24.3463	13.6462	0.528522	9.18594
B4GALT4	8.88904	7.15817	4.59578	2.56935	5.89875	6.99156	6.77848	4.11067	3.70434	7.31787	4.10574	5.37711	8.66457	14.8593	4.2741	6.64791	8.18021	2.93877	8.25887	4.14878	23.9246	6.3418
SLC12A8	4.49028	2.41677	6.77452	0.038735	8.76046	6.27366	5.28264	8.78858	2.88241	11.922	3.88305	3.87084	1.75315	15.5405	3.62017	2.0324	1.23145	1.83376	7.54823	1.01861	0.810184	4.83932
RAB6B	1.71428	3.71097	5.44137	0.104718	0.922475	7.11847	0.0957051	1.75265	0.284132	2.74781	1.51163	0.449978	0.252521	0.0602305	0.100748	1.77991	3.37471	0.345217	10.3765	4.08225	0.622105	7.69852
SLC25A36	22.2599	18.3599	9.30167	12.8568	18.8697	18.0189	10.3448	19.6329	14.7546	14.7192	30.8208	5.53012	13.4091	12.5999	10.8195	9.45224	4.55081	28.9853	37.7732	27.8482	12.0079	12.981
AADAC	2.94447	24.1686	0.103684	0	0.181797	2.97897	6.03548	0.133619	0.354623	0.0108297	2.45493	0.141035	0.0512906	2.43695	0.0630856	0.0231414	0.0537446	0.262665	0.130328	0.13094	7.57064	9.22223
SOX2	1.40299	2.48589	189.183	0.286621	42.8751	5.0715	1.35921	45.4452	14.598	0.0648226	88.596	15.0162	67.8896	6.24595	15.3561	0.284728	1.35317	64.4372	162.1	0.225395	14.135	109.572
ABCC5	9.91468	15.0683	7.19955	3.75353	24.9582	20.5153	18.5134	6.98334	9.19683	20.7482	31.6633	9.61757	16.3673	21.3865	5.24412	10.2328	2.11048	86.3689	12.7265	16.653	45.3327	106.927
BCL6	6.75096	4.47391	1.9728	2.10059	2.42952	3.83611	1.75436	2.57579	5.27931	6.21493	1.62736	2.28951	11.7756	2.8767	2.62251	1.41248	2.75755	4.13428	5.44564	4.72199	4.60448	24.509
LSG1	24.8799	12.5217	23.6278	32.1468	39.3577	28.6398	26.7898	41.3672	31.4538	14.5036	30.2608	20.8134	21.7103	19.939	14.4693	21.1679	19.2792	23.6454	19.3064	20.8751	20.1442	37.7516
BDH1	5.35622	1.00103	10.7511	5.15027	8.85712	9.50081	0.652602	6.21462	15.8307	4.00802	9.1988	5.26306	3.28902	2.61639	1.21242	7.29493	3.6812	9.75889	8.75875	0.673411	7.977	23.7578
MAPK10	0.103022	0.129149	0.0265997	0.405959	0.0585624	0.109111	0.546436	0.168079	0.323007	0.199537	0.162503	0.649121	0.656021	0.850892	2.31808	0.148895	0.0134727	0.17071	0.484071	0.473054	1.1953	2.93575
ADH7	0	0.0125868	0.606827	0.0030389	6.4279	0	0.0069948	0.587781	0.0712477	0.316911	5.46626	5.90304	6.42997	53.1839	0.22153	0.0067719	0.0089871	0.0180857	117.465	0.0676186	3.65305	147.719
SLC7A11	7.4338	41.8943	6.17028	13.9974	56.6455	0.780945	21.0691	12.2152	11.2229	35.8405	29.4782	23.8992	2.51481	68.8923	9.87929	1.72283	24.9037	5.44564	77.7295	3.74634	17.0981	44.1103
TRIM2	3.61436	3.13219	9.11885	4.19001	0.797488	1.53577	2.21575	2.08793	2.07524	0.616209	12.6569	0.51615	4.06842	4.54463	5.70162	0.802984	31.6975	10.3772	5.69436	2.86033	7.18778	11.6298
ANXA10	0.0902118	12.4705	0.0385423	0.0733448	14.4543	2.30893	136.542	0	0.236756	82.0652	1.59949	4.60823	0.0664136	105.115	5.09539	0.108962	0.786289	0.0788138	0.943495	14.7606	0.823034	1.63118
KIAA0319	0.0288133	0.477273	0.70948	0.741824	0.123279	0.259777	0.347191	0.0348959	1.53632	0.549267	14.0125	0.183178	0.291893	3.21718	0.638998	0.592361	2.54852	0.0772612	7.40296	0.117379	0.517101	1.90392
TDP2	15.3244	10.7826	14.0848	40.1875	22.758	12.3595	17.8102	14.4655	25.102	13.715	60.6766	16.7392	9.30199	26.1447	16.6247	19.7258	18.0048	13.3097	35.888	13.0268	14.655	35.3862
ACOT13	4.12333	5.49533	5.85256	15.8924	2.71963	2.97491	2.79835	3.28699	9.19503	3.87854	11.9956	4.17288	3.27427	5.60896	5.09941	6.47171	7.27057	3.65116	9.82304	2.45017	4.99398	8.82602
EFHC1	1.70213	1.59825	4.50029	6.81447	1.80296	2.92654	3.51186	1.52791	2.31352	3.25559	6.03925	1.48743	1.92408	1.63574	2.22784	2.5759	0.617308	4.13292	3.9946	1.72954	2.03627	10.9561
TMEM14A	12.92	36.8197	58.3306	61.1931	30.3689	36.8024	42.4825	11.3569	67.1572	28.5799	63.7437	57.5827	45.8121	55.2621	67.6598	50.0009	33.798	37.8701	44.3869	21.5507	40.3923	175.395
GSTA1	0	0.0140814	0.0357307	0	0.219953	0	0.0489083	0.529165	0.129958	0.221589	10.3273	0.0419745	0.671661	0.128898	0.0317738	0	0	0.0674442	30.3681	0.012608	0.272859	181.481
GSTA4	5.79158	9.44913	14.4128	0.522841	3.70617	4.81863	0.459332	3.92943	16.8189	9.0153	10.6581	11.6917	0.579551	6.17709	3.19671	0.379477	2.09509	6.38167	22.7956	2.85961	5.82639	260.135
GCLC	8.6123	20.2797	15.7875	10.2345	85.3637	7.35264	11.529	18.742	45.9454	19.1181	242.165	14.8707	13.677	23.4219	14.5681	9.83273	25.0971	12.104	145.867	6.77242	34.5235	113.119
ME1	14.3003	26.9796	18.4473	11.1196	34.1978	7.32134	81.9827	17.6356	47.4173	21.5344	53.0501	26.5267	9.00356	31.5873	13.5984	12.5638	40.9295	26.8936	57.2009	4.8492	23.8036	50.9201
WASF1	1.54577	9.09572	10.9173	22.1089	12.2055	10.7823	10.9765	13.8631	16.1161	7.14522	35.7156	4.09789	2.06271	3.42681	6.13036	8.47382	0.844606	14.6595	32.9915	14.4791	7.26619	4.20519
ASF1A	4.20003	11.3082	9.31922	6.4265	14.7308	3.81386	16.517	17.1258	15.9866	7.56249	17.1389	12.3702	22.5744	10.7687	15.3011	11.2243	15.6327	13.1505	16.5752	8.49381	11.2745	8.86783
CTAGE9	0.0076861	0.0218567	0.0277301	0.0791543	0	0.0789914	0.0607312	0.0027378	0.0571534	0.0412732	0.0352936	0.0190025	0.100995	0.0184276	0.0770598	0.0269484	0.214581	0.032714	0.091061	0.078279	0.0705874	0.0741926
POM121	7.37967	6.49294	7.84138	12.6787	12.3446	3.99557	10.359	8.57807	8.61137	6.49203	7.76686	4.44502	5.34423	7.34326	5.62207	10.7862	6.44427	4.06304	6.67793	5.48144	4.00855	8.90812
NSUN5P2	4.05883	3.56269	4.19632	6.49263	2.26351	1.75418	2.87708	2.42931	2.69324	3.23717	3.08899	1.55056	3.82705	2.57228	1.97099	1.08249	1.50666	6.18155	0.817805	0.439382	1.46862	2.76217
ABHD11	7.98266	5.24094	13.7901	24.7439	12.4756	4.8935	27.6748	11.7837	18.69	5.88432	20.3646	14.5781	19.968	27.4377	5.83199	10.2451	7.75438	21.7989	10.2009	7.88196	24.4215	17.6188
EIF4H	130.714	98.0079	205.163	278.161	210.919	87.308	231.602	219.905	202.719	88.9545	120.395	170.58	146.12	278.751	141.129	202.764	113.268	129.779	96.5336	124.657	196.44	169.473
GTF2IRD1	5.70623	5.5738	9.99079	7.36991	6.10187	3.0841	7.99701	9.39444	4.24495	5.76642	6.08074	5.57379	5.8249	5.84058	4.67817	5.37815	3.81362	4.97441	4.46366	8.70324	8.52902	15.932
GTF2I	5.47513	6.73551	15.2266	24.2101	14.7599	8.83392	44.4855	12.9913	16.4509	10.5078	12.1637	8.56849	5.64879	15.7516	10.7874	11.7213	8.91326	9.85736	12.695	16.8363	26.3049	22.4519
PMS2P5	0.800833	1.70798	2.48526	4.35661	2.32298	0.932091	5.06755	3.31678	2.11956	2.4235	3.22404	2.08539	3.05505	2.74288	0.767522	2.39681	2.19615	2.18378	1.94435	2.15134	2.43597	3.41848
GTF2IP1	0.209022	0.409571	0.452469	0.622232	0.227844	0.278284	0.762563	0.262455	0.356569	0.406876	0.494081	0.354357	0.318954	0.502031	0.452656	0.364763	0.532157	0.346964	0.717589	1.09266	0.734851	0.92514
NSUN5P1	3.49833	5.63303	8.93395	12.9159	5.42723	4.03449	10.5771	3.67673	7.77451	4.19494	6.13234	3.32382	8.44715	4.68355	3.50007	4.617	2.13009	10.4946	6.13748	4.97549	6.58349	9.46947
PMS2P3	3.59934	4.5776	4.78281	7.26691	3.69863	2.54911	8.28724	4.32199	4.08291	3.38411	3.55353	1.86833	6.28584	3.79951	3.51168	4.47304	4.38291	4.96206	3.49175	3.78398	5.48305	5.39128
POR	12.7397	19.8753	30.2136	29.0992	11.4794	11.5603	32.7379	11.4299	18.8164	14.4124	54.1839	13.7306	16.6979	24.7685	15.476	11.8519	7.72464	29.584	9.39626	13.578	23.1629	32.1653
ZP3	2.49763	10.0601	5.77734	0.540151	3.49044	1.50811	0.257963	3.21503	1.21734	1.34502	0.210907	2.06571	0.907433	2.42263	1.50417	3.23167	0.869348	1.02053	1.45724	0.158073	2.23478	4.29456
POMZP3	2.67019	2.48574	5.0059	6.07288	3.90331	1.54696	0.0274084	2.47781	2.27389	1.82957	2.25505	4.29288	2.91711	2.79434	4.59249	1.98719	2.33594	5.19694	3.32756	1.63685	2.33615	4.89469
PMS2P11	0	0	0	0.0515524	0	0	0	0	0	0.161285	0	0.16973	0	0	0	0	0.0762296	0	0	0	0	0
GATAD1	23.0988	29.0851	13.5731	46.5476	13.8187	6.4658	16.1782	53.8174	9.09059	18.5324	21.1586	6.652	14.9018	16.3424	9.31034	10.6444	16.781	42.5027	23.4465	10.6055	19.3213	31.3953
DLX5	0.0674566	0.477035	17.2249	0.0045703	4.34836	1.37326	1.9409	2.96689	1.24391	0.900812	3.41024	5.66155	3.39502	0.747843	1.04223	0.546577	0.939374	2.35734	12.1083	0.583055	9.45153	28.2547
ASNS	23.6148	183.916	61.3243	103.235	29.2555	5.68278	13.5685	99.0697	23.1355	13.0938	69.7512	57.3675	17.5804	66.3637	25.7582	25.9512	36.6842	43.3916	102.542	14.7169	17.8625	54.2818
PMS2P1	7.17754	9.1279	12.2792	11.1368	9.51289	3.61745	16.0985	20.937	9.30927	11.8712	14.9324	30.9762	12.4412	6.34832	7.81387	13.3444	13.3772	19.5949	6.79336	10.5579	10.5815	20.2984
PILRB	24.3307	17.82	17.8407	13.8342	11.4238	9.86691	34.5541	26.1674	22.0931	16.5878	16.6168	54.9491	31.4574	7.9743	13.5584	12.1633	4.24934	37.2068	9.27105	11.1247	28.8195	17.6882
POLR2J	30.5599	55.7025	69.0124	50.9665	40.1171	23.5459	54.2469	61.368	36.7192	42.3639	37.152	168.694	48.0072	40.6129	37.4331	54.6655	33.9634	100.043	15.6777	27.1477	53.8776	29.9798
POLR2J2	0.416773	0.671944	0.17453	1.58398	0.111813	0.222506	1.18346	1.52699	0.37111	0.659413	0.726984	0.410056	0.965308	0.469023	1.24758	0.493411	0.849994	0.671545	0.192378	0.483204	0.296179	0.457163
NAMPT	20.5106	15.9393	13.3487	33.8723	18.6591	8.32281	102.961	19.5943	27.6417	32.0892	69.1362	40.7385	23.6037	42.6023	10.9226	31.7295	43.3926	76.3609	13.4934	13.8399	27.7012	57.6499
NRCAM	0.0239901	0.738102	5.6331	0.0194445	0.123624	1.48553	4.38218	0.210788	3.00813	0.112124	10.908	0.71362	0.585266	0.324104	0.0438284	0.683943	2.70947	4.18984	9.85449	1.68823	0.13464	0.521623
NAA38	6.31513	6.45124	9.45272	9.41391	4.70896	4.1875	12.2242	14.5656	6.50836	6.76597	5.78663	4.14519	10.174	4.23908	4.73149	7.78214	6.02383	3.93429	4.02219	6.56445	4.85047	4.79587
AKR1B1	23.1842	43.8458	43.1997	31.8315	58.195	27.1466	101.182	39.9755	79.2893	206.19	62.2333	69.9657	35.7457	41.9399	40.1381	83.4746	66.3939	23.3211	37.8522	45.9893	31.904	59.9892
AKR1B10	0.378059	3.70242	0.594996	0.312861	72.5776	0.335195	2.30327	0.070082	72.6125	34.2841	755.406	131.962	2.29089	689.634	40.7364	0.564391	3.09884	9.60051	533.509	2.01848	40.7562	85.1669
MKRN1	18.0208	23.9785	10.248	22.9791	9.85058	11.2427	10.6478	13.6698	21.1381	18.5258	53.1082	6.78037	15.5882	15.9906	15.4024	20.7187	13.7342	13.2258	15.1159	14.3497	15.4601	32.7348
CTAGE8	0.15078	0.468502	0.429093	0.287801	0.0967931	0.0837945	0.123246	0.366702	0.170566	0.171007	0.110691	0.115689	0.052892	0.101504	0.20017	0.057174	0.267216	0.388374	0.0671986	0.0744641	0.0268589	0.0615943
REPIN1	20.0112	20.5035	11.7052	9.3201	19.2997	15.5953	15.007	27.8854	30.2	21.8443	35.8609	4.54951	18.203	12.1982	17.3769	20.9219	25.9346	19.5348	17.6757	9.57694	10.9414	22.4841
MTUS1	4.77415	2.16919	9.01517	15.5473	7.3747	5.9765	7.48591	19.8655	11.4587	2.53349	11.7093	3.41521	4.06429	4.42676	6.73807	2.61271	2.91922	13.1348	11.2782	1.18493	4.77382	8.15775
HR	0.894215	10.6838	7.08879	5.54155	2.7348	8.36165	17.6189	0.794149	11.2937	16.3939	14.087	12.2732	4.51872	10.0799	8.48469	4.07754	1.48021	5.34265	1.09742	1.44816	30.59	31.444
GSR	18.4455	28.0874	37.5136	47.2887	79.1585	33.4526	48.2524	62.117	80.2788	49.8434	142.838	42.9639	32.5111	178.369	57.6673	32.917	28.3789	50.893	98.961	12.6289	38.6674	21.7561
IKBKB	4.2568	8.13821	6.89327	5.99822	3.19384	5.79561	6.65699	6.2977	11.9104	5.53382	10.794	2.22626	4.31003	6.31842	6.55752	2.15991	3.27207	8.91135	4.6331	4.09333	5.97153	8.8032
